,Unnamed: 0,listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price,market_price,bargain
1183,12932,981044,BMW ALPINA B4 S Bi-Turbo Coupe,bmw,alpina,"pristine showroom condition alpina b4s in exclusive grigio medio grey. elegant and bespoke leather interior, fully maintained by authorised agent. please whatsapp for viewing appointment. calls will not be entertained. dealers/ consignment agent please do not contact me.",2017,,29-Dec-17,sports car,"parf car, direct owner sale, low mileage car",auto,1615,324,,2979,1,30510,54334,2362,177021,6500,121463,190634,,,uncategorized,"bmw 3.0l straight-six cylinder bi-turbo engine produces 332 kw  and a torque of 660 nm. zf 8-speed sport auto transmission, rear wheel drive. view specs of the bmw alpina b4 bi-turbo coupe","alpina classic 20"" forged wheels, sunrooof, hud, wireless charging, harmon kardon sound system, navi, front & rear park distance control with camera",,317800,388746.1,70946.1
2622,14371,1004209,BMW M Series M5,bmw,m5,"the mighty m5! agent unit, launch edition. careful and meticulous owner. fully serviced and maintained by pma. bmw service package and bmw extended warranty up to jun 2023. buy with added peace of mind with agent warranty. finance and trade in welcomed. call now for an exclusive viewing.",2018,,28-Jun-18,sports car,"parf car, rare & exotic, low mileage car",auto,1855,441,,4395,2,42100,37000,4568,160669,14000,116325,181385,,,uncategorized,"m5 launch edition! v8 twin power turbo engine producing 591 hp and 750 nm of torque. 8 speed m steptronic transmission, m xdrive, adaptive suspension.","360 view camera. m-seats in full merino upholstery, alcantara headliner, m compound brakes, adaptive led headlights, touch screen navigation.",,416700,438968.94,22268.94
154,11903,986330,BMW 6 Series 640i Gran Coupe Sunroof,bmw,640i,2 owner unit in extremely low mileage! well kept by owner with ac compressor just changed in dec 2020. bank or in house loan available. call for more enquiries! we open mon to sat 10 am to 7 pm. please call us for appointment on sunday and public holiday. thank you!,2013,,10-Jan-14,sports car,"parf car, low mileage car",auto,1735,235,,2979,2,26960,78700,2362,84400,51174,76394,109510,,,uncategorized,"3.0l inline 6 cylinders twin power turbocharged engine producing 315bhp and 450nm, 8 speed auto transmission with paddle shifter, sport/comfort modes. view specs of the bmw 6 series coupe","i-drive display with navigation, keyless entry/start, reverse camera and surround view, memory seats, adaptive led headlights, sunroof.",,130700,150498.77,19798.77
2939,14688,1016460,BMW M Series M3 Sedan,bmw,m3,"consignment unit, record with pml since day 1, fully service by agent. stunning red interior. car is showroom condition. well taken care off. straight chassis, accident free, wear and tear done up. not urgent sales. trade in and loan package available. call now to find out more.",2015,,28-Jan-16,sports car,"parf car, premium ad car",auto,1560,317,,2979,1,39590,50089,2362,92890,77000,71677,101019,,,uncategorized,bmw m3 sedan. view specs of the bmw m series m3 sedan,"carbon kit, solar film, in car camera, etc.",,248400,266016.56,17616.56
3918,15667,1027522,BMW M Series M140i 5DR,bmw,m140i,"one & only mineral grey unit available in the market! low mileage! unit still under pml's warranty, serviced regularly at servicing agent, 100% loan available from 3.xx%! bank and in house facilities available! call us now to book an viewing and test drive appointment today! viewing strictly via appointment only!",2017,,15-Mar-17,hatchback,"parf car, premium ad car",auto,1475,250,,2998,4,22000,48556,2384,58243,78500,35770,42078,,,uncategorized,"bmw's b58 engine, 3.0l 6-cylinder turbocharged, 335bhp/499nm torque, 0-100km/h in 4.6s, 8-speed , rwd. view specs of the bmw m series m140i","bastuck exhaust, mst intake, 18' varro rims with ps4 tyres, m-sports suspension and brake kit, reverse sensors/camera.",,157100,173067.33,15967.33
2546,14295,1018311,BMW M Series M4 Convertible Competition Package,bmw,m4,"lowest depre. extended 3 years/75,000km warranty.  accident-free. low down payment, low interest, in-house loan. consignment unit, fix appointment for viewing.",2018,6-Jun-18,20-Apr-21,sports car,"imported used vehicle, parf car, almost new car",auto,1890,331,,2979,1,,46790,2362,,,53963,69134,,,uncategorized,"bmw m twin power turbo inline 6 cylinder petrol engine  7 speed m-dct with drivelogic, producing 443bhp, top speed 250km/h. view specs of the bmw m4","m competition package, original m-bodykits, surround view camera. carbon fiber front splitter, side mirror cover & diffuser. red nappa leather.",,322200,337416.56,15216.56
69,11818,1026016,BMW X4 xDrive30i M-Sport,bmw,x4,pml unit with 5 years warranty and free servicing package. sheltered parking. mint condition. viewing by appointment only. price negotiable.,2019,,30-Mar-20,suv,"parf car, direct owner sale, low mileage car",auto,1750,185,,1998,1,22540,30012,1210,82022,11500,57242,75036,,,uncategorized,"bmw 2.0l twin turbo engine, 252bhp, 350nm, 0 to 100 km/h in just 6.3 seconds. auto start/stop function, keyless comfort access, 8 speeds transmission.","bmw touch-screen i-drive, gps and bluetooth, auto tailgate, front and rear park assist, harmon kardon surround sound system, 20"" rims.",,254000,268918.7,14918.7
1770,13519,1026199,BMW 7 Series 740Li Luxury Sunroof,bmw,740li,"1 owner super low mileage, agent pml unit. high specs and high arf! with optional digital car key, harman kardon sound system, panoramic sunroof, soft closing doors, comfort access, head up display , 360 reverse camera and more! high loan up to 100% available, lowest interest rate from 1.88% guaranteed accident-free, showroom condition, call for viewing now!",2015,,1-Feb-16,luxury sedan,parf car,auto,1770,240,,2998,2,26320,59889,2384,109734,59000,81641,118954,,,uncategorized,"bmw 3.0l inline 6 cylinder twinpower turbocharged engine producing 321bhp, 450nm of torque. 8 speed  steptronic transmission with paddle shifters.","hud, sunroof, harmon kardon, bmw touch command, gesture control, massage seats, suction doors, 360 camera/sensors, electric tailgate/roller blind",,193400,207171.53,13771.53
1531,13280,1025861,BMW M Series M240i Coupe,bmw,m2,"low mileage unit! extremely well maintained! pristine condition!fully maintenance by pml, under agent warranty and free servicing till .24/7 covered parking. accident free! flexible loan schemes with competitive interest rates tailored to suit your needs! trade-in and sta evaluation welcomed! view to believe! don't miss! our friendly sales team will be able to assist your enquires.",2019,,5-Jul-19,sports car,"parf car, low mileage car",auto,1490,250,,2998,1,20940,39728,2384,75474,19000,47916,59083,,,uncategorized,"powerful and responsive 3.0, in-line 6-cylinder, 24-valve m twinpower turbocharged, 8-speed, rwd, producing, 335b hp, 500 nm. view specs of the bmw m series m240i coupe","multi-function steering, keyless, auto headlights & wipers, electric side mirrors, paddle shifters, cruise control, in-car camera, reverse sensors.",,213200,225525.25,12325.25
1583,13332,1022363,BMW 6 Series 640i Gran Coupe M-Sport,bmw,640i,1300,2013,,26-Sep-13,luxury sedan,"parf car, consignment car",auto,1750,235,,2979,2,24700,86239,2362,97771,96500,89436,132985,,,uncategorized,"3.0l inline 6 cylinders turbo, 8 spd transmission 315 bhp 450nm, 0-100km 5.4s, 20"" rim. view specs of the bmw 6 series coupe","bmw individual full leather package merino amaro brown, dark grey popular wood trim, hud, reverse camera, gps, bmw loudspeaker audio, full sunscreen.",,129800,141802,12002
