,Unnamed: 0,listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price,market_price,bargain
4339,16088,1026941,Honda Odyssey 2.4A Absolute 8-Seater,honda,odyssey,"pristine condition, the perfect family car! bank/in house loan at very low interest available! very spacious & comfortable! responsive and smooth engine and gearbox! no headaches for you! the perfect car to serve you and your family! trade-in welcome! call us now to be the next owner! viewing strictly by appointment only.",2014,,19-May-14,mpv,parf car,auto,1750,140,,2356,2,12980,75010,1630,40386,100000,29719,33607,,,uncategorized,"powerful and reliable 2.4l 4 cylinders inline 16v dohc i-vtec engine producing 187 bhp, earth dreams cvt auto, paddle shifters, cruise control. view specs of the honda odyssey","original factory fitted sports rims, upgraded android player, reverse sensors, reverse camera, power sliding door, fog lights, 8-seater!",,57000,61637.445,4637.445
3375,15124,1007334,Honda HR-V 1.5A LX,honda,hr-v,"facelifted high spec lx unit! fully age nt serviced, warranty till jan 2025! 4 more free servicing! just serviced in june! roof rack installed. mishap free, worry-free purchase! spacious cabin and good handling makes the hr-v so popular! a great car for daily commute with practical functions and good drive! viewing by appointment only. direct seller sale only.",2019,,7-Jan-20,suv,"parf car, direct owner sale",auto,1200,96,,1496,2,9230,33009,682,45258,21000,22556,23579,,,uncategorized,"hrv is known to be super reliable, low maintenance and extremely fuel efficient!  practical everyday car that drives well w/ spacious cabin. view specs of the honda hr-v","keyless entry/start, reverse cam, bt+wifi interface, cruise control, paddle shifters, elec park brake, eco mode, auto hold, touchscreen infotainment.",,97800,102392.32,4592.32
416,12165,1023981,Honda Vezel Hybrid 1.5A X,honda,vezel,"well maintained like brand new! high fuel efficiency. rare low mileage unit. most demanding sporty hatch back with the sleekest design ever created, various loan to cater to your finance requirement. feel free to contact our sales representative for viewing.",2017,,12-Feb-18,suv,"parf car, low mileage car, hybrid cars",auto,1280,112,petrol-electric,1496,2,11040,42661,682,39714,23000,24399,16159,,,uncategorized,"airbags, abs, powerful and reliable 1.5l 4 cylinders inline dohc i-vtec hybrid engine, keyless entry/start/stop. producing 150 bhp, cruise control. view specs of the honda vezel hybrid","leather seats, sports rims, audio system, auto tailgate, electric parking brake, reverse camera, steering audio controls.",,87400,91197.94,3797.94
1949,13698,1028708,Honda Odyssey 2.4A EXV-S Sunroof,honda,e,"1 owner, low mileage done, full serviced histories with kah motor, 100% loan and balloon scheme available, ex-bankruptcy and bad credit welcome, high trade in.",2014,,12-Mar-14,mpv,parf car,auto,1855,129,,2356,1,14550,79300,1630,40656,,30422,34591,,,uncategorized,"2.4l 4 cylinders inline dohc i-vtech, 6 airbags, traction control, multi-function steering, keyless entry, engine start/stop. view specs of the honda odyssey","cruise control, sunroof, led headlights, dual power sliding doors, dual electric seats, factory fitted audio system.",,59200,62815.836,3615.836
1621,13370,989379,Honda HR-V 1.5A DX,honda,hr-v,latest showroom facelift with crystal led head lamp! single owner unit in honda signature milano red in colour. this unit comes with existing  5 year agent warranty coverage valid till 06 jan 2024. price listed are final with gst included. sta evaluation supported for a peace of mind.,2018,,7-Jan-19,suv,"parf car, premium ad car",auto,1191,96,,1496,1,9220,28199,682,35531,32278,19654,19654,,,uncategorized,original condition. view specs of the honda hr-v,factory fitted interior.,,85600,89048.96,3448.96
1684,13433,1013118,Honda Shuttle Hybrid 1.5A,honda,shuttle,"full loan available! 1 owner only! meticulously well maintained in excellent pristine like new condition assured! 100% accident free and non phv unit assured with very low mileage done! very fuel efficient yet powerful and spacious compact wagon! our company provide all bank/in house loan, easy approval! all trade in welcome! hurry contact us now for a viewing appointment today!",2018,,4-Jul-19,stationwagon,"parf car, hybrid cars",auto,1190,101,petrol-electric,1496,1,9800,42564,682,43626,24888,22542,13559,,,uncategorized,"responsive and powerful 1.5l earth dreams dohc 16v hybrid petrol electric i-vtec engine, 135bhp, 7 speed cvt auto, abs, srs, keyless entry start/stop. view specs of the honda shuttle hybrid","leather seats, dvd player, reverse camera/sensor, solar film, retractable side mirrors/indicators, front and back recording camera.",,92200,95222.016,3022.016
1820,13569,1024993,Honda Accord 2.4A,honda,accord,low mileage! pristine condition! agent warranty and serviced by previous owner! 100% loan available starting from 1.88% interest! high trade-in! check out this beauty before it is gone!,2014,,25-Jan-16,luxury sedan,"parf car, premium ad car",auto,1570,129,,2356,1,11880,54920,1630,51309,60000,33305,38627,,,uncategorized,"airbags, abs, powerful and reliable 2.0l i-vtec dohc engine, 5 speed auto, keyless entry/start, 4 dics brakes, cruise control. view specs of the honda view specs of the honda accord","leather seats, sports rims, audio system, reverse camera, electric seats, blind spot camera.",,79000,81938.555,2938.555
561,12310,1026484,Honda Fit Hybrid 1.5A,honda,fit,"1 owner unit, well maintained. lady owner with low mileage, brilliant blue metallic. mint interior condition. workshop inspection welcomed. full range of loan available for bank and in house, competitive interest rates from 1.88% contact our sales team for a viewing now!",2018,,10-May-19,hatchback,"parf car, consignment car, low mileage car, hybrid cars",auto,1080,101,petrol-electric,1496,1,9190,48010,682,43087,23000,18221,8221,,,uncategorized,"1.5l powered dohc i-vtec hybrid, petrol electric, 7 speed dct  transmission, fuel consumption 37.2km/l, srs airbags, keyless entry, eco mode. view specs of the honda fit hybrid 2017","leather seats, sports rims, pioneer dvd player, reverse camera and sensors, auto retractable side mirrors, tinted solar films",,82300,85030.484,2730.484
986,12735,1026498,Honda Vezel 1.5A X,honda,vezel,6,2018,,23-Jan-19,suv,"parf car, low mileage car",auto,1190,96,,1496,1,9740,25920,682,29353,21000,22552,13573,,,uncategorized,"powerful 1.5l i-vtec engine producing 128bhp, earth dream technology, keyless entry/start/auto brake hold, cruise control, electric park brake. view specs of the honda vezel",leather seats. touch screen dvd player/bluetooth. cruise control. eco mode. retractable mirrors. led auto headlights. daytime light. reverse camera.,,86700,89305.86,2605.86
3818,15567,1029208,Honda Fit 1.3A G F-Package,honda,fit,"1 owner unit, well maintained and in good condition, original paintwork, accident-free, please call or whatsapp us for viewing, don't miss this great unit.",2017,,18-Jan-18,hatchback,"parf car, low mileage car",auto,1030,73,,1317,1,8270,36890,578,27168,29000,14396,5000,,,uncategorized,"fuel-efficient 1.3l 4 cylinders inline dohc i-vtec engine, cvt automatic transmission, keyless entry, push start. view specs of the honda fit 2017","15"" sports rims, auto headlights, leather seats, bluetooth player, reverse camera and sensors.",,60500,62979.27,2479.27
