Id,Predicted
0,54501.5
1,203456.9
2,261100.4
3,94746.6
4,-4608.9
5,125497.9
6,-9432.3
7,31130.5
8,21362.6
9,28800.0
10,10565.2
11,28067.3
12,-23710.2
13,29163.8
14,142853.3
15,18962.6
16,-31410.6
17,-8352.5
18,13605.4
19,40681.4
20,327219.1
21,-36794.0
22,21362.6
23,18962.6
24,174082.5
25,18295.3
26,26878.5
27,32953.0
28,-7942.3
29,30819.9
30,3178.9
31,448584.6
32,593720.5
33,41492.0
34,20108.1
35,25380.6
36,1726.9
37,-28642.2
38,-82600.1
39,41492.0
40,-4638.1
41,-31410.6
42,56170.1
43,34806.9
44,29725.8
45,-39998.9
46,140393.2
47,17583.1
48,58821.3
49,9046.0
50,-30789.7
51,-31501.4
52,-7261.0
53,18295.3
54,116052.2
55,25453.6
56,-66160.1
57,7377.7
58,23932.9
59,-42140.0
60,511561.5
61,112697.0
62,-45138.3
63,999038.9
64,-20882.2
65,63002.0
66,55221.8
67,-31410.6
68,162724.9
69,21362.6
70,25453.6
71,384487.4
72,34207.1
73,275070.4
74,537079.3
75,4022.6
76,25380.6
77,121294.3
78,-5366.7
79,10879.9
80,64979.4
81,45869.2
82,29723.4
83,151633.2
84,-11836.8
85,134441.6
86,-3191.3
87,13358.9
88,108380.0
89,-8949.4
90,15569.7
91,-8949.4
92,48025.5
93,21362.6
94,15043.5
95,12606.5
96,126548.0
97,55866.3
98,18962.6
99,-30789.7
100,18962.6
101,-30160.4
102,-29427.2
103,33482.1
104,-5051.2
105,-7910.2
106,-16220.3
107,18962.6
108,7377.7
109,12769.4
110,57147.6
111,-11548.5
112,5457.0
113,-5339.8
114,41669.9
115,14251.8
116,19983.5
117,-31755.8
118,-6990.3
119,-31410.6
120,42309.9
121,43589.6
122,-20882.2
123,109211.9
124,81546.6
125,-34356.4
126,68132.1
127,36304.7
128,-44575.7
129,223221.5
130,-4321.5
131,877321.6
132,30819.9
133,-31755.8
134,-30789.7
135,24223.0
136,81470.2
137,-24612.9
138,-16220.3
139,45783.9
140,1426.1
141,71395.7
142,-52211.5
143,17340.5
144,96340.4
145,187353.2
146,3178.9
147,-7910.2
148,562407.1
149,63690.7
150,16266.0
151,20143.8
152,14511.4
153,115103.5
154,-5690.8
155,37170.8
156,78588.9
157,29723.4
158,-3191.3
159,-28642.2
160,497272.7
161,29723.4
162,-8949.4
163,-31410.6
164,-31755.8
165,5703.6
166,142290.4
167,-3897.7
168,-28642.2
169,-16547.4
170,-33548.1
171,25380.6
172,25453.6
173,98258.1
174,23797.5
175,-46845.6
176,-28642.2
177,-7910.2
178,5030.6
179,23550.0
180,-16220.3
181,-28642.2
182,-3191.3
183,-7089.2
184,18685.8
185,18295.3
186,86707.6
187,104235.4
188,-3834.7
189,-29427.2
190,129371.2
191,96471.0
192,73173.6
193,-3191.3
194,177826.6
195,30512.3
196,21362.6
197,-1052.9
198,12340.8
199,8035.1
200,19600.4
201,272119.5
202,59561.6
203,-264413.3
204,-27565.4
205,-12919.0
206,-8706.9
207,-8706.9
208,12606.5
209,-4608.9
210,21362.6
211,54904.7
212,110799.2
213,26746.2
214,48554.4
215,128210.9
216,29723.4
217,-10476.3
218,-5051.2
219,-4608.9
220,115568.9
221,43589.6
222,-30789.7
223,107181.3
224,150607.1
225,-4841.0
226,-1052.9
227,186946.8
228,-3191.3
229,-16220.3
230,-7264.9
231,-10476.3
232,-7211.6
233,76643.5
234,-28642.2
235,35042.3
236,177826.6
237,104874.2
238,19080.8
239,123071.7
240,188060.8
241,-12678.4
242,25453.6
243,32335.6
244,-4806.7
245,314235.9
246,41760.1
247,66896.8
248,-28642.2
249,27116.0
250,-31755.8
251,779173.9
252,107385.7
253,25380.6
254,-54634.2
255,24787.1
256,444720.8
257,18295.3
258,245092.1
259,76063.8
260,-3191.3
261,55147.4
262,22291.3
263,-9288.3
264,-48586.7
265,68325.5
266,185325.9
267,-7910.2
268,-115754.1
269,133278.1
270,-41695.6
271,25453.6
272,-65496.8
273,51225.5
274,138562.4
275,21362.6
276,118079.5
277,45752.6
278,7179.1
279,-28642.2
280,133500.9
281,3178.9
282,2041.4
283,-12919.0
284,-7855.9
285,-35769.1
286,20143.8
287,-31362.9
288,19983.5
289,144047.3
290,-33548.1
291,25380.6
292,-5554.6
293,66248.8
294,56380.0
295,-30789.7
296,18962.6
297,-31410.6
298,83650.3
299,29510.2
300,-7089.2
301,-175162.4
302,-9288.3
303,-16220.3
304,42907.9
305,20143.8
306,-85572.5
307,7377.7
308,70227.2
309,31456.8
310,883019.8
311,28067.3
312,21362.6
313,-2453.8
314,7377.7
315,18295.3
316,8176.8
317,46419.4
318,49923.3
319,-6597.5
320,139410.5
321,-8445.7
322,-28642.2
323,29163.8
324,96314.6
325,593705.4
326,83507.1
327,129400.2
328,-7282.4
329,41492.0
330,12769.4
331,54501.5
332,1426.1
333,40497.1
334,58567.7
335,-7183.9
336,76927.2
337,15043.5
338,21362.6
339,17583.1
340,104235.4
341,14389.0
342,82436.3
343,18962.6
344,50424.4
345,-31501.4
346,136259.0
347,-33548.1
348,-28642.2
349,49317.7
350,43589.6
351,-45199.6
352,-28642.2
353,-33548.1
354,58567.7
355,148592.8
356,-12189.4
357,968436.1
358,25453.6
359,32884.0
360,17754.5
361,116144.8
362,129371.2
363,18295.3
364,135951.6
365,13024.8
366,86241.9
367,37170.8
368,8899.3
369,23617.4
370,41075.6
371,26760.6
372,-12289.4
373,-3191.3
374,-1896.8
375,10879.9
376,15127.4
377,-8186.2
378,98873.9
379,21362.6
380,-19816.3
381,18962.6
382,176860.6
383,36025.8
384,-31410.6
385,-31501.4
386,22944.4
387,-36567.2
388,-18953.8
389,-21344.9
390,98144.9
391,-8949.4
392,18295.3
393,95280.8
394,6202.2
395,27721.6
396,56817.5
397,142685.1
398,3076.5
399,188556.2
400,25380.6
401,-20882.2
402,58313.4
403,-31755.8
404,-28642.2
405,353040.5
406,42795.1
407,-28642.2
408,25609.7
409,-20882.2
410,-8949.4
411,-7261.0
412,-31444.5
413,96340.4
414,-31755.8
415,40083.3
416,3580.3
417,43740.2
418,50424.4
419,21362.6
420,3696.1
421,-64997.8
422,34981.5
423,-3191.3
424,21362.6
425,21362.6
426,475.6
427,30819.9
428,622338.5
429,-33548.1
430,278408.9
431,78350.8
432,96471.0
433,4022.6
434,965154.2
435,80263.5
436,21301.8
437,42853.8
438,-31755.8
439,18962.6
440,-30789.7
441,63223.2
442,55992.9
443,-3191.3
444,42889.9
445,55866.3
446,50424.4
447,47470.1
448,21362.6
449,-46673.0
450,-3191.3
451,18962.6
452,18295.3
453,-27565.4
454,-8949.4
455,-12919.0
456,-34356.4
457,60192.1
458,-33952.8
459,49710.6
460,-6191.5
461,60472.0
462,136020.5
463,-29637.9
464,18295.3
465,-11942.8
466,-6454.2
467,114453.1
468,28367.8
469,107756.4
470,-21385.4
471,31343.3
472,21362.6
473,66574.4
474,25453.6
475,34770.7
476,-1052.9
477,21298.3
478,385998.5
479,23404.8
480,-35769.1
481,57546.6
482,73905.4
483,52139.1
484,-19926.3
485,95232.4
486,208524.8
487,10879.9
488,104706.6
489,-7194.1
490,67722.0
491,-74837.9
492,36223.3
493,11041.6
494,-19926.3
495,24223.0
496,-4676.0
497,-3191.3
498,-28642.2
499,-3191.3
500,-31444.5
501,3178.9
502,1426.1
503,-8706.9
504,422536.7
505,2898.5
506,19471.4
507,104815.5
508,-31755.8
509,34380.8
510,14082.3
511,55601.3
512,-7261.0
513,-20882.2
514,75354.0
515,148901.6
516,-10476.3
517,-7910.2
518,-28642.2
519,12291.4
520,-30551.1
521,27116.0
522,2370.8
523,62913.7
524,67206.4
525,33701.1
526,22944.4
527,21362.6
528,-9432.3
529,-31755.8
530,65796.3
531,45035.1
532,-2230.0
533,-7282.4
534,2046.3
535,38274.2
536,199558.8
537,25453.6
538,41234.7
539,30819.9
540,24433.0
541,72072.8
542,-6105.1
543,11360.8
544,-4077.0
545,1672.6
546,15482.7
547,-4676.0
548,23617.4
549,9142.1
550,-30551.1
551,55018.1
552,122071.9
553,47752.0
554,-2639.5
555,4409.6
556,13358.9
557,13358.9
558,28067.3
559,-1158.2
560,25453.6
561,61197.8
562,569433.2
563,-3191.3
564,1672.6
565,-28642.2
566,-48741.3
567,23617.4
568,80263.5
569,18962.6
570,10818.9
571,-12189.4
572,13437.0
573,44028.8
574,-8949.4
575,67761.7
576,-3191.3
577,-10476.3
578,-28642.2
579,18295.3
580,25453.6
581,133500.9
582,204468.6
583,3178.9
584,-31755.8
585,-6501.0
586,23617.4
587,32884.0
588,914.6
589,69583.6
590,136833.1
591,-31410.6
592,76128.0
593,-28642.2
594,18962.6
595,-5366.7
596,96855.9
597,139940.8
598,291495.3
599,12769.4
600,-12189.4
601,58567.7
602,56186.5
603,78350.8
604,11343.9
605,62593.8
606,47178.3
607,-28642.2
608,23617.4
609,77887.3
610,-30252.9
611,113204.1
612,-30757.7
613,-3191.3
614,108897.3
615,-3191.3
616,49145.1
617,63002.0
618,18962.6
619,-7910.2
620,-9432.3
621,172549.4
622,-33548.1
623,3178.9
624,17882.1
625,41009.7
626,42853.8
627,54969.0
628,21362.6
629,108264.2
630,-8087.0
631,41622.6
632,554393.1
633,25453.6
634,-28642.2
635,18962.6
636,21362.6
637,18295.3
638,21757.6
639,25453.6
640,22507.3
641,-11942.8
642,-5101.8
643,29433.2
644,12136.5
645,-31410.6
646,25453.6
647,22374.5
648,116303.4
649,67629.2
650,127257.0
651,24126.2
652,17754.5
653,35309.4
654,680963.0
655,41760.1
656,18962.6
657,13354.4
658,-8949.4
659,69055.0
660,48226.3
661,17784.3
662,18962.6
663,-249407.8
664,31255.5
665,-62207.3
666,25453.6
667,46227.4
668,-16220.3
669,2036.4
670,18319.3
671,33204.8
672,40497.1
673,31456.8
674,-7261.0
675,18962.6
676,378624.3
677,-3191.3
678,63092.6
679,-4841.0
680,73173.6
681,-528.9
682,-31410.6
683,15788.9
684,10700.2
685,1381.5
686,4022.6
687,-4841.0
688,115103.5
689,144275.7
690,3178.9
691,31456.8
692,-54592.0
693,-3191.3
694,33231.5
695,69728.2
696,73173.6
697,35608.9
698,91714.5
699,-5581.6
700,107181.3
701,15842.9
702,13358.9
703,29723.4
704,-9432.3
705,205795.2
706,134067.0
707,47123.5
708,18482.7
709,-60845.5
710,15127.4
711,233558.0
712,402227.5
713,590283.8
714,80263.5
715,-20882.2
716,21362.6
717,-3191.3
718,17187.6
719,2370.8
720,-4673.1
721,33231.5
722,42907.9
723,-28980.3
724,388301.6
725,12994.7
726,18178.3
727,-33548.1
728,19600.4
729,25380.6
730,-15011.2
731,-4676.0
732,60192.1
733,-12919.0
734,24569.5
735,25453.6
736,21362.6
737,23797.5
738,21362.6
739,-31501.4
740,18295.3
741,-6454.2
742,-8949.4
743,-8087.0
744,20580.3
745,-5553.0
746,42853.8
747,80786.7
748,-7183.9
749,227699.4
750,122071.9
751,-5051.2
752,-70330.6
753,1468992.0
754,-96867.2
755,74439.2
756,1132489.8
757,208042.9
758,-10485.2
759,-16220.3
760,1726.9
761,30819.9
762,18962.6
763,17754.5
764,91216.4
765,-7118.1
766,18962.6
767,210476.7
768,15683.0
769,18962.6
770,-20882.2
771,302932.8
772,41622.6
773,23963.4
774,-67289.1
775,15127.4
776,25345.6
777,-65359.2
778,-28642.2
779,-10043.0
780,-31501.4
781,539672.2
782,-4676.0
783,108626.2
784,1612.3
785,38539.3
786,62267.3
787,18295.3
788,-16220.3
789,-3191.3
790,-12919.0
791,10565.2
792,24787.1
793,80274.3
794,13135.7
795,58567.7
796,73252.8
797,7783.6
798,21362.6
799,18962.6
800,-6701.4
801,50891.3
802,323093.4
803,43047.8
804,-20882.2
